Date,Stations Reporting,Stations Missing,Total Stations,% Missing,Missing Station IDs
2016-08-23,302,99,401,24.7,"US1LAAV0001,US1LACC0005,US1LAEB0005,US1LAEB0014,US1LAEB0019,US1LAEB0031,US1LAEB0046,US1LAEB0054,US1LAEB0056,US1LAEB0059,US1LAEB0063,US1LAEF0001,US1LALY0002,US1LALY0006,US1LALY0007,US1LAPC0002,US1MSAD0001,US1TXAG0006,US1TXAS0002,US1TXAS0011,US1TXBZS092,US1TXBZS102,US1TXCLR003,US1TXCLR010,US1TXFB0025,US1TXFB0030,US1TXFB0043,US1TXFB0044,US1TXGV0016,US1TXGV0017,US1TXGV0018,US1TXGV0022,US1TXGV0025,US1TXGV0027,US1TXGV0028,US1TXGV0043,US1TXGV0050,US1TXHRN002,US1TXHRN006,US1TXHRN007,US1TXHRR004,US1TXHRR024,US1TXHRR076,US1TXHRR086,US1TXHRR116,US1TXHRR120,US1TXHRR147,US1TXHRR195,US1TXHRR199,US1TXHRR204,US1TXHRR208,US1TXHRR211,US1TXJJ0003,US1TXJJ0005,US1TXJJ0007,US1TXJJ0008,US1TXLR0014,US1TXMNG018,US1TXMNG025,US1TXMNG026,US1TXMNG033,US1TXMNG049,US1TXMNG054,US1TXMNG061,US1TXOR0004,US1TXOR0006,US1TXPL0003,US1TXPL0022,US1TXPL0025,US1TXPL0032,US1TXSJ0010,US1TXSJ0012,US1TXTR0008,US1TXTR0009,US1TXWA0014,US1TXWH0005,US1TXWH0016,US1TXWK0002,US1TXWK0007,US1TXWK0011,US1TXWK0013,US1TXWK0014,US1TXWK0025,USC00160617,USC00161535,USC00162641,USC00165072,USC00166657,USC00166686,USC00167729,USC00169369,USC00169376,USC00414076,USC00415415,USC00415659,USC00418311,USC00418728,USC00419754,USC00419898"
2016-08-24,279,122,401,30.4,"US1LAAV0001,US1LACC0005,US1LAEB0005,US1LAEB0009,US1LAEB0019,US1LAEB0031,US1LAEB0056,US1LAEB0059,US1LAEB0063,US1LAEF0001,US1LALY0002,US1LALY0006,US1LALY0007,US1LAPC0002,US1MSAD0001,US1MSAD0004,US1TXAG0006,US1TXAS0002,US1TXAS0008,US1TXAS0011,US1TXAS0012,US1TXAS0014,US1TXBZS075,US1TXBZS077,US1TXBZS092,US1TXBZS102,US1TXCLR003,US1TXCLR010,US1TXFB0025,US1TXFB0027,US1TXFB0028,US1TXFB0030,US1TXFB0042,US1TXFB0043,US1TXFB0044,US1TXGV0006,US1TXGV0009,US1TXGV0016,US1TXGV0022,US1TXGV0025,US1TXGV0027,US1TXGV0028,US1TXGV0033,US1TXGV0050,US1TXHRN006,US1TXHRN007,US1TXHRR004,US1TXHRR024,US1TXHRR043,US1TXHRR076,US1TXHRR086,US1TXHRR095,US1TXHRR114,US1TXHRR116,US1TXHRR119,US1TXHRR120,US1TXHRR121,US1TXHRR122,US1TXHRR147,US1TXHRR195,US1TXHRR199,US1TXHRR204,US1TXHRR208,US1TXHRR211,US1TXHRR217,US1TXHRR222,US1TXHRR223,US1TXHRR225,US1TXJJ0003,US1TXJJ0005,US1TXJJ0007,US1TXJJ0008,US1TXJS0002,US1TXLR0001,US1TXLR0014,US1TXMDS002,US1TXMNG018,US1TXMNG025,US1TXMNG033,US1TXMNG036,US1TXMNG049,US1TXMNG054,US1TXMNG061,US1TXOR0004,US1TXOR0006,US1TXPL0022,US1TXPL0025,US1TXPL0032,US1TXSJ0010,US1TXSJ0012,US1TXTR0003,US1TXTR0009,US1TXWA0014,US1TXWA0018,US1TXWH0005,US1TXWH0015,US1TXWH0016,US1TXWK0002,US1TXWK0007,US1TXWK0011,US1TXWK0013,US1TXWK0014,US1TXWK0020,US1TXWK0025,USC00160617,USC00161535,USC00162641,USC00165072,USC00165287,USC00165920,USC00166657,USC00169369,USC00169376,USC00410257,USC00414076,USC00414563,USC00415415,USC00415659,USC00418311,USC00418728,USC00419754,USC00419898"
2016-08-25,278,123,401,30.7,"US1LACC0005,US1LACM0003,US1LAEB0005,US1LAEB0019,US1LAEB0031,US1LAEB0054,US1LAEB0059,US1LAEB0063,US1LAEF0001,US1LALY0002,US1LALY0007,US1LAPC0002,US1TXAG0006,US1TXAS0002,US1TXAS0008,US1TXAS0011,US1TXAS0012,US1TXAS0014,US1TXBRZ018,US1TXBZS075,US1TXBZS077,US1TXBZS088,US1TXBZS092,US1TXBZS102,US1TXCLR003,US1TXFB0025,US1TXFB0027,US1TXFB0028,US1TXFB0030,US1TXFB0043,US1TXFB0044,US1TXGV0006,US1TXGV0009,US1TXGV0016,US1TXGV0017,US1TXGV0018,US1TXGV0022,US1TXGV0025,US1TXGV0027,US1TXGV0028,US1TXGV0050,US1TXGV0054,US1TXHRN006,US1TXHRN007,US1TXHRR004,US1TXHRR024,US1TXHRR031,US1TXHRR043,US1TXHRR076,US1TXHRR086,US1TXHRR095,US1TXHRR114,US1TXHRR116,US1TXHRR119,US1TXHRR120,US1TXHRR121,US1TXHRR122,US1TXHRR147,US1TXHRR150,US1TXHRR159,US1TXHRR195,US1TXHRR199,US1TXHRR204,US1TXHRR208,US1TXHRR211,US1TXHRR217,US1TXHRR223,US1TXHRR225,US1TXJJ0003,US1TXJJ0005,US1TXJJ0007,US1TXJJ0008,US1TXJS0002,US1TXLR0001,US1TXLR0010,US1TXLR0014,US1TXMDS002,US1TXMNG018,US1TXMNG025,US1TXMNG033,US1TXMNG036,US1TXMNG049,US1TXMNG061,US1TXOR0001,US1TXOR0004,US1TXOR0006,US1TXPL0022,US1TXPL0025,US1TXPL0032,US1TXSJ0010,US1TXSJ0012,US1TXTR0003,US1TXTR0009,US1TXWA0014,US1TXWA0018,US1TXWH0005,US1TXWH0015,US1TXWH0016,US1TXWK0002,US1TXWK0007,US1TXWK0011,US1TXWK0020,US1TXWK0025,USC00160462,USC00160617,USC00161535,USC00162641,USC00165072,USC00165287,USC00165920,USC00166657,USC00169369,USC00169376,USC00410257,USC00414076,USC00414563,USC00415271,USC00415415,USC00416680,USC00418311,USC00418728,USC00419754,USC00419898"
2016-08-26,292,109,401,27.2,"US1LACC0005,US1LAEB0005,US1LAEB0019,US1LAEB0031,US1LAEB0059,US1LAEB0063,US1LAEF0001,US1LALY0002,US1LALY0007,US1LAPC0002,US1TXAG0006,US1TXAS0002,US1TXAS0008,US1TXAS0011,US1TXAS0012,US1TXAS0014,US1TXBZS075,US1TXBZS077,US1TXBZS088,US1TXBZS092,US1TXBZS102,US1TXCLR003,US1TXCLR010,US1TXFB0025,US1TXFB0027,US1TXFB0028,US1TXFB0030,US1TXFB0042,US1TXFB0043,US1TXFB0044,US1TXGV0016,US1TXGV0022,US1TXGV0025,US1TXGV0027,US1TXGV0028,US1TXGV0041,US1TXGV0050,US1TXHRN006,US1TXHRN007,US1TXHRR004,US1TXHRR024,US1TXHRR031,US1TXHRR043,US1TXHRR076,US1TXHRR086,US1TXHRR114,US1TXHRR116,US1TXHRR119,US1TXHRR120,US1TXHRR121,US1TXHRR122,US1TXHRR147,US1TXHRR159,US1TXHRR195,US1TXHRR199,US1TXHRR204,US1TXHRR208,US1TXHRR211,US1TXHRR215,US1TXHRR223,US1TXJJ0003,US1TXJJ0005,US1TXJJ0008,US1TXJJ0010,US1TXMDS002,US1TXMNG018,US1TXMNG025,US1TXMNG033,US1TXMNG036,US1TXMNG049,US1TXMNG051,US1TXMNG061,US1TXOR0004,US1TXOR0006,US1TXPL0003,US1TXPL0018,US1TXPL0022,US1TXPL0025,US1TXPL0028,US1TXSJ0010,US1TXSJ0012,US1TXTR0003,US1TXTR0009,US1TXWA0014,US1TXWA0018,US1TXWA0024,US1TXWH0005,US1TXWK0002,US1TXWK0007,US1TXWK0011,US1TXWK0015,US1TXWK0020,US1TXWK0025,USC00160462,USC00160617,USC00161535,USC00162641,USC00165072,USC00165287,USC00166657,USC00167729,USC00169369,USC00169376,USC00414076,USC00415415,USC00418311,USC00418728,USC00419754,USC00419898"
2016-08-27,287,114,401,28.4,"US1LACC0005,US1LAEB0005,US1LAEB0019,US1LAEB0031,US1LAEB0053,US1LAEB0054,US1LAEB0059,US1LAEB0063,US1LAEF0001,US1LALY0002,US1LALY0006,US1LALY0007,US1LAPC0002,US1LAWB0002,US1MSAD0001,US1MSAD0004,US1TXAG0006,US1TXAS0002,US1TXAS0011,US1TXBZS075,US1TXBZS077,US1TXBZS088,US1TXBZS092,US1TXBZS102,US1TXCHM008,US1TXCLR010,US1TXFB0025,US1TXFB0027,US1TXFB0028,US1TXFB0030,US1TXFB0043,US1TXFB0044,US1TXGV0006,US1TXGV0009,US1TXGV0015,US1TXGV0016,US1TXGV0017,US1TXGV0022,US1TXGV0025,US1TXGV0027,US1TXGV0028,US1TXGV0033,US1TXGV0041,US1TXGV0050,US1TXHRN006,US1TXHRN007,US1TXHRR004,US1TXHRR024,US1TXHRR043,US1TXHRR052,US1TXHRR076,US1TXHRR086,US1TXHRR089,US1TXHRR095,US1TXHRR114,US1TXHRR116,US1TXHRR119,US1TXHRR120,US1TXHRR121,US1TXHRR122,US1TXHRR147,US1TXHRR159,US1TXHRR195,US1TXHRR199,US1TXHRR204,US1TXHRR208,US1TXHRR211,US1TXHRR215,US1TXHRR223,US1TXHRR225,US1TXJJ0003,US1TXJJ0005,US1TXJJ0007,US1TXJJ0008,US1TXLR0001,US1TXMDS002,US1TXMNG018,US1TXMNG025,US1TXMNG033,US1TXMNG049,US1TXMNG061,US1TXOR0004,US1TXOR0006,US1TXPL0016,US1TXPL0022,US1TXPL0025,US1TXSJ0010,US1TXSJ0012,US1TXTR0008,US1TXWA0014,US1TXWA0018,US1TXWA0024,US1TXWH0005,US1TXWK0002,US1TXWK0011,US1TXWK0025,US1TXWL0009,USC00160462,USC00161535,USC00162641,USC00165072,USC00165287,USC00165920,USC00166657,USC00166968,USC00169369,USC00169376,USC00410257,USC00412676,USC00414076,USC00415271,USC00415415,USC00418728,USC00419754"
2016-08-28,284,117,401,29.2,"US1LAAV0001,US1LACC0005,US1LAEB0005,US1LAEB0019,US1LAEB0031,US1LAEB0053,US1LAEB0059,US1LAEB0063,US1LAEF0001,US1LALY0002,US1LAPC0002,US1LAWB0002,US1TXAG0006,US1TXAS0002,US1TXAS0008,US1TXAS0011,US1TXAS0012,US1TXBZS075,US1TXBZS077,US1TXBZS092,US1TXBZS102,US1TXCHM008,US1TXCLR003,US1TXCLR010,US1TXFB0017,US1TXFB0025,US1TXFB0027,US1TXFB0028,US1TXFB0030,US1TXFB0044,US1TXGV0009,US1TXGV0016,US1TXGV0022,US1TXGV0025,US1TXGV0027,US1TXGV0028,US1TXGV0041,US1TXGV0043,US1TXGV0049,US1TXGV0050,US1TXHRN001,US1TXHRN007,US1TXHRR004,US1TXHRR024,US1TXHRR052,US1TXHRR076,US1TXHRR086,US1TXHRR095,US1TXHRR116,US1TXHRR119,US1TXHRR120,US1TXHRR121,US1TXHRR122,US1TXHRR147,US1TXHRR159,US1TXHRR195,US1TXHRR199,US1TXHRR204,US1TXHRR208,US1TXHRR211,US1TXHRR215,US1TXHRR217,US1TXHRR223,US1TXHRR225,US1TXJJ0003,US1TXJJ0005,US1TXJJ0007,US1TXJJ0008,US1TXJJ0010,US1TXLR0010,US1TXMNG018,US1TXMNG025,US1TXMNG033,US1TXMNG036,US1TXMNG049,US1TXMNG058,US1TXMNG061,US1TXOR0004,US1TXOR0006,US1TXPL0016,US1TXPL0022,US1TXPL0025,US1TXSJ0010,US1TXSJ0012,US1TXTR0008,US1TXTR0009,US1TXWA0014,US1TXWA0018,US1TXWA0024,US1TXWH0005,US1TXWH0016,US1TXWK0002,US1TXWK0007,US1TXWK0011,US1TXWK0020,US1TXWK0025,US1TXWL0009,USC00160462,USC00160565,USC00161535,USC00162641,USC00165072,USC00165287,USC00166657,USC00167729,USC00169369,USC00169376,USC00410257,USC00412676,USC00414076,USC00415271,USC00415415,USC00415427,USC00418728,USC00419491,USC00419754,USC00419898"
2016-08-29,301,100,401,24.9,"US1LAAV0001,US1LACC0005,US1LAEB0005,US1LAEB0019,US1LAEB0031,US1LAEB0053,US1LAEB0059,US1LAEB0063,US1LAEF0001,US1LALY0002,US1LALY0007,US1LAPC0002,US1LAWB0002,US1MSAD0001,US1TXAG0006,US1TXAS0002,US1TXAS0011,US1TXAS0012,US1TXBZS092,US1TXBZS102,US1TXCLR003,US1TXFB0025,US1TXFB0027,US1TXFB0028,US1TXFB0030,US1TXFB0044,US1TXGV0016,US1TXGV0022,US1TXGV0025,US1TXGV0027,US1TXGV0028,US1TXGV0041,US1TXHRN001,US1TXHRN007,US1TXHRR004,US1TXHRR024,US1TXHRR052,US1TXHRR076,US1TXHRR086,US1TXHRR089,US1TXHRR116,US1TXHRR120,US1TXHRR122,US1TXHRR159,US1TXHRR195,US1TXHRR199,US1TXHRR204,US1TXHRR208,US1TXHRR211,US1TXHRR215,US1TXHRR223,US1TXJJ0003,US1TXJJ0005,US1TXJJ0008,US1TXJJ0010,US1TXMNG018,US1TXMNG025,US1TXMNG033,US1TXMNG049,US1TXMNG054,US1TXOR0004,US1TXOR0006,US1TXPL0016,US1TXPL0022,US1TXPL0025,US1TXSJ0010,US1TXSJ0012,US1TXTR0003,US1TXWA0014,US1TXWA0024,US1TXWH0005,US1TXWH0011,US1TXWH0016,US1TXWK0002,US1TXWK0007,US1TXWK0011,US1TXWK0012,US1TXWK0020,US1TXWK0025,USC00160462,USC00160617,USC00161535,USC00162641,USC00165072,USC00165920,USC00166657,USC00166686,USC00167729,USC00169369,USC00169376,USC00412266,USC00414076,USC00415271,USC00415415,USC00415427,USC00415659,USC00418311,USC00418728,USC00419754,USC00419898"
